Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Previously reported daily cases,Change in daily cases,Cumulative lab-confirmed cases,Previously reported cumulative cases,Change in cumulative cases
England,E92000001,Nation,2020-05-08,63,0,63,134975,133626,1349
South West,E12000009,Region,2020-05-08,9,,,6974,,
South East,E12000008,Region,2020-05-08,5,,,19119,,
London,E12000007,Region,2020-05-08,0,,,25734,,
East of England,E12000006,Region,2020-05-08,1,,,12076,,
West Midlands,E12000005,Region,2020-05-08,9,,,14719,,
East Midlands,E12000004,Region,2020-05-08,0,,,7558,,
Yorkshire and The Humber,E12000003,Region,2020-05-08,33,,,12130,,
North West,E12000002,Region,2020-05-08,3,,,22148,,
North East,E12000001,Region,2020-05-08,3,,,8891,,
Worcestershire,E10000034,Upper tier local authority,2020-05-08,0,,,1243,,
West Sussex,E10000032,Upper tier local authority,2020-05-08,0,,,1227,,
Warwickshire,E10000031,Upper tier local authority,2020-05-08,0,,,1303,,
Surrey,E10000030,Upper tier local authority,2020-05-08,0,,,2740,,
Suffolk,E10000029,Upper tier local authority,2020-05-08,1,,,1256,,
Staffordshire,E10000028,Upper tier local authority,2020-05-08,4,,,1949,,
Somerset,E10000027,Upper tier local authority,2020-05-08,1,,,563,,
Oxfordshire,E10000025,Upper tier local authority,2020-05-08,0,,,1711,,
Nottinghamshire,E10000024,Upper tier local authority,2020-05-08,0,,,1211,,
North Yorkshire,E10000023,Upper tier local authority,2020-05-08,5,,,1162,,
Northamptonshire,E10000021,Upper tier local authority,2020-05-08,0,,,1121,,
Norfolk,E10000020,Upper tier local authority,2020-05-08,0,,,1864,,
Lincolnshire,E10000019,Upper tier local authority,2020-05-08,0,,,916,,
Leicestershire,E10000018,Upper tier local authority,2020-05-08,0,,,1036,,
Lancashire,E10000017,Upper tier local authority,2020-05-08,1,,,3119,,
Kent,E10000016,Upper tier local authority,2020-05-08,0,,,4110,,
Hertfordshire,E10000015,Upper tier local authority,2020-05-08,0,,,2569,,
Hampshire,E10000014,Upper tier local authority,2020-05-08,2,,,3005,,
Gloucestershire,E10000013,Upper tier local authority,2020-05-08,0,,,1325,,
Essex,E10000012,Upper tier local authority,2020-05-08,0,,,2840,,
East Sussex,E10000011,Upper tier local authority,2020-05-08,0,,,646,,
Devon,E10000008,Upper tier local authority,2020-05-08,0,,,768,,
Derbyshire,E10000007,Upper tier local authority,2020-05-08,0,,,1417,,
