Area name,Area code,Area type,Reporting date,Daily change in deaths,Cumulative deaths
Wales,W92000004,Nation,2020-06-13,6,1441
Scotland,S92000003,Nation,2020-06-13,3,2442
Northern Ireland,N92000002,Nation,2020-06-13,1,539
United Kingdom,K02000001,UK,2020-06-13,181,41662
England,E92000001,Nation,2020-06-13,171,37240
Wales,W92000004,Nation,2020-06-12,10,1435
Scotland,S92000003,Nation,2020-06-12,5,2439
Northern Ireland,N92000002,Nation,2020-06-12,1,538
United Kingdom,K02000001,UK,2020-06-12,202,41481
England,E92000001,Nation,2020-06-12,186,37069
Wales,W92000004,Nation,2020-06-11,6,1425
Scotland,S92000003,Nation,2020-06-11,12,2434
Northern Ireland,N92000002,Nation,2020-06-11,0,537
United Kingdom,K02000001,UK,2020-06-11,151,41279
England,E92000001,Nation,2020-06-11,133,36883
Wales,W92000004,Nation,2020-06-10,9,1419
Scotland,S92000003,Nation,2020-06-10,7,2422
Northern Ireland,N92000002,Nation,2020-06-10,0,537
United Kingdom,K02000001,UK,2020-06-10,245,41128
England,E92000001,Nation,2020-06-10,229,36750
Wales,W92000004,Nation,2020-06-09,9,1410
Scotland,S92000003,Nation,2020-06-09,0,2415
Northern Ireland,N92000002,Nation,2020-06-09,0,537
United Kingdom,K02000001,UK,2020-06-09,286,40883
England,E92000001,Nation,2020-06-09,277,36521
Wales,W92000004,Nation,2020-06-08,3,1401
Scotland,S92000003,Nation,2020-06-08,0,2415
Northern Ireland,N92000002,Nation,2020-06-08,0,537
United Kingdom,K02000001,UK,2020-06-08,55,40597
England,E92000001,Nation,2020-06-08,52,36244
Wales,W92000004,Nation,2020-06-07,5,1398
Scotland,S92000003,Nation,2020-06-07,6,2415
Northern Ireland,N92000002,Nation,2020-06-07,1,537
United Kingdom,K02000001,UK,2020-06-07,77,40542
England,E92000001,Nation,2020-06-07,65,36192
Wales,W92000004,Nation,2020-06-06,10,1393
Scotland,S92000003,Nation,2020-06-06,14,2409
Northern Ireland,N92000002,Nation,2020-06-06,1,536
United Kingdom,K02000001,UK,2020-06-06,204,40465
England,E92000001,Nation,2020-06-06,179,36127
Wales,W92000004,Nation,2020-06-05,4,1383
Scotland,S92000003,Nation,2020-06-05,9,2395
Northern Ireland,N92000002,Nation,2020-06-05,1,535
United Kingdom,K02000001,UK,2020-06-05,357,40261
England,E92000001,Nation,2020-06-05,343,35948
Wales,W92000004,Nation,2020-06-04,8,1379
Scotland,S92000003,Nation,2020-06-04,11,2386
Northern Ireland,N92000002,Nation,2020-06-04,8,534
United Kingdom,K02000001,UK,2020-06-04,176,39904
England,E92000001,Nation,2020-06-04,149,35605
Wales,W92000004,Nation,2020-06-03,17,1371
Scotland,S92000003,Nation,2020-06-03,12,2375
Northern Ireland,N92000002,Nation,2020-06-03,2,526
United Kingdom,K02000001,UK,2020-06-03,359,39728
England,E92000001,Nation,2020-06-03,328,35456
Wales,W92000004,Nation,2020-06-02,7,1354
Scotland,S92000003,Nation,2020-06-02,1,2363
Northern Ireland,N92000002,Nation,2020-06-02,1,524
United Kingdom,K02000001,UK,2020-06-02,324,39369
England,E92000001,Nation,2020-06-02,315,35128
Wales,W92000004,Nation,2020-06-01,5,1347
Scotland,S92000003,Nation,2020-06-01,9,2362
Northern Ireland,N92000002,Nation,2020-06-01,1,523
United Kingdom,K02000001,UK,2020-06-01,111,39045
England,E92000001,Nation,2020-06-01,96,34813
Wales,W92000004,Nation,2020-05-31,11,1342
Scotland,S92000003,Nation,2020-05-31,22,2353
Northern Ireland,N92000002,Nation,2020-05-31,1,522
United Kingdom,K02000001,UK,2020-05-31,115,38934
England,E92000001,Nation,2020-05-31,81,34717
Wales,W92000004,Nation,2020-05-30,14,1331
Scotland,S92000003,Nation,2020-05-30,15,2331
Northern Ireland,N92000002,Nation,2020-05-30,3,521
United Kingdom,K02000001,UK,2020-05-30,226,38819
England,E92000001,Nation,2020-05-30,194,34636
Wales,W92000004,Nation,2020-05-29,10,1317
Scotland,S92000003,Nation,2020-05-29,12,2316
Northern Ireland,N92000002,Nation,2020-05-29,2,518
United Kingdom,K02000001,UK,2020-05-29,373,38593
England,E92000001,Nation,2020-05-29,349,34442
Wales,W92000004,Nation,2020-05-28,14,1307
Scotland,S92000003,Nation,2020-05-28,13,2304
Northern Ireland,N92000002,Nation,2020-05-28,2,516
United Kingdom,K02000001,UK,2020-05-28,413,38220
England,E92000001,Nation,2020-05-28,384,34093
Wales,W92000004,Nation,2020-05-27,11,1293
Scotland,S92000003,Nation,2020-05-27,18,2291
Northern Ireland,N92000002,Nation,2020-05-27,0,514
United Kingdom,K02000001,UK,2020-05-27,434,37807
England,E92000001,Nation,2020-05-27,405,33709
Wales,W92000004,Nation,2020-05-26,8,1282
Scotland,S92000003,Nation,2020-05-26,3,2273
Northern Ireland,N92000002,Nation,2020-05-26,8,514
United Kingdom,K02000001,UK,2020-05-26,136,37373
England,E92000001,Nation,2020-05-26,117,33304
Wales,W92000004,Nation,2020-05-25,7,1274
Scotland,S92000003,Nation,2020-05-25,9,2270
Northern Ireland,N92000002,Nation,2020-05-25,1,506
United Kingdom,K02000001,UK,2020-05-25,121,37237
England,E92000001,Nation,2020-05-25,104,33187
Wales,W92000004,Nation,2020-05-24,7,1267
Scotland,S92000003,Nation,2020-05-24,16,2261
Northern Ireland,N92000002,Nation,2020-05-24,1,505
United Kingdom,K02000001,UK,2020-05-24,441,37116
England,E92000001,Nation,2020-05-24,417,33083
Wales,W92000004,Nation,2020-05-23,6,1260
Scotland,S92000003,Nation,2020-05-23,24,2245
Northern Ireland,N92000002,Nation,2020-05-23,3,504
United Kingdom,K02000001,UK,2020-05-23,282,36675
England,E92000001,Nation,2020-05-23,249,32666
Wales,W92000004,Nation,2020-05-22,7,1254
Scotland,S92000003,Nation,2020-05-22,37,2221
Northern Ireland,N92000002,Nation,2020-05-22,7,501
United Kingdom,K02000001,UK,2020-05-22,351,36393
England,E92000001,Nation,2020-05-22,300,32417
Wales,W92000004,Nation,2020-05-21,9,1247
Scotland,S92000003,Nation,2020-05-21,50,2184
Northern Ireland,N92000002,Nation,2020-05-21,5,494
United Kingdom,K02000001,UK,2020-05-21,338,36042
England,E92000001,Nation,2020-05-21,274,32117
Wales,W92000004,Nation,2020-05-20,14,1238
Scotland,S92000003,Nation,2020-05-20,29,2134
Northern Ireland,N92000002,Nation,2020-05-20,7,489
United Kingdom,K02000001,UK,2020-05-20,363,35704
England,E92000001,Nation,2020-05-20,313,31843
Wales,W92000004,Nation,2020-05-19,17,1224
Scotland,S92000003,Nation,2020-05-19,2,2105
Northern Ireland,N92000002,Nation,2020-05-19,6,482
United Kingdom,K02000001,UK,2020-05-19,545,35341
England,E92000001,Nation,2020-05-19,520,31530
Wales,W92000004,Nation,2020-05-18,4,1207
Scotland,S92000003,Nation,2020-05-18,9,2103
Northern Ireland,N92000002,Nation,2020-05-18,3,476
United Kingdom,K02000001,UK,2020-05-18,160,34796
England,E92000001,Nation,2020-05-18,144,31010
Wales,W92000004,Nation,2020-05-17,12,1203
Scotland,S92000003,Nation,2020-05-17,41,2094
Northern Ireland,N92000002,Nation,2020-05-17,4,473
United Kingdom,K02000001,UK,2020-05-17,170,34636
England,E92000001,Nation,2020-05-17,113,30866
Wales,W92000004,Nation,2020-05-16,18,1191
Scotland,S92000003,Nation,2020-05-16,46,2053
Northern Ireland,N92000002,Nation,2020-05-16,15,469
United Kingdom,K02000001,UK,2020-05-16,468,34466
England,E92000001,Nation,2020-05-16,389,30753
Wales,W92000004,Nation,2020-05-15,9,1173
Scotland,S92000003,Nation,2020-05-15,34,2007
Northern Ireland,N92000002,Nation,2020-05-15,5,454
United Kingdom,K02000001,UK,2020-05-15,384,33998
England,E92000001,Nation,2020-05-15,336,30364
Wales,W92000004,Nation,2020-05-14,10,1164
Scotland,S92000003,Nation,2020-05-14,61,1973
Northern Ireland,N92000002,Nation,2020-05-14,2,449
United Kingdom,K02000001,UK,2020-05-14,428,33614
England,E92000001,Nation,2020-05-14,355,30028
Wales,W92000004,Nation,2020-05-13,22,1154
Scotland,S92000003,Nation,2020-05-13,50,1912
Northern Ireland,N92000002,Nation,2020-05-13,9,447
United Kingdom,K02000001,UK,2020-05-13,494,33186
England,E92000001,Nation,2020-05-13,413,29673
Wales,W92000004,Nation,2020-05-12,16,1132
Scotland,S92000003,Nation,2020-05-12,5,1862
Northern Ireland,N92000002,Nation,2020-05-12,3,438
United Kingdom,K02000001,UK,2020-05-12,627,32692
England,E92000001,Nation,2020-05-12,603,29260
Wales,W92000004,Nation,2020-05-11,5,1116
Scotland,S92000003,Nation,2020-05-11,10,1857
Northern Ireland,N92000002,Nation,2020-05-11,5,435
United Kingdom,K02000001,UK,2020-05-11,210,32065
England,E92000001,Nation,2020-05-11,190,28657
Wales,W92000004,Nation,2020-05-10,12,1111
Scotland,S92000003,Nation,2020-05-10,36,1847
Northern Ireland,N92000002,Nation,2020-05-10,4,430
United Kingdom,K02000001,UK,2020-05-10,269,31855
England,E92000001,Nation,2020-05-10,217,28467
Wales,W92000004,Nation,2020-05-09,9,1099
Scotland,S92000003,Nation,2020-05-09,49,1811
Northern Ireland,N92000002,Nation,2020-05-09,4,426
United Kingdom,K02000001,UK,2020-05-09,345,31586
England,E92000001,Nation,2020-05-09,283,28250
Wales,W92000004,Nation,2020-05-08,28,1090
Scotland,S92000003,Nation,2020-05-08,59,1762
Northern Ireland,N92000002,Nation,2020-05-08,4,422
United Kingdom,K02000001,UK,2020-05-08,626,31241
England,E92000001,Nation,2020-05-08,535,27967
Wales,W92000004,Nation,2020-05-07,18,1062
Scotland,S92000003,Nation,2020-05-07,83,1703
Northern Ireland,N92000002,Nation,2020-05-07,14,418
United Kingdom,K02000001,UK,2020-05-07,539,30615
England,E92000001,Nation,2020-05-07,424,27432
Wales,W92000004,Nation,2020-05-06,21,1044
Scotland,S92000003,Nation,2020-05-06,44,1620
Northern Ireland,N92000002,Nation,2020-05-06,17,404
United Kingdom,K02000001,UK,2020-05-06,649,30076
England,E92000001,Nation,2020-05-06,567,27008
Wales,W92000004,Nation,2020-05-05,26,1023
Scotland,S92000003,Nation,2020-05-05,5,1576
Northern Ireland,N92000002,Nation,2020-05-05,6,387
United Kingdom,K02000001,UK,2020-05-05,693,29427
England,E92000001,Nation,2020-05-05,656,26441
Wales,W92000004,Nation,2020-05-04,14,997
Scotland,S92000003,Nation,2020-05-04,12,1571
Northern Ireland,N92000002,Nation,2020-05-04,5,381
United Kingdom,K02000001,UK,2020-05-04,288,28734
England,E92000001,Nation,2020-05-04,257,25785
Wales,W92000004,Nation,2020-05-03,14,983
Scotland,S92000003,Nation,2020-05-03,44,1559
Northern Ireland,N92000002,Nation,2020-05-03,11,376
United Kingdom,K02000001,UK,2020-05-03,315,28446
