date,areaName,areaCode,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
2020-09-28,Antrim and Newtownabbey,N09000001,8,
2020-09-27,Antrim and Newtownabbey,N09000001,8,
2020-09-26,Antrim and Newtownabbey,N09000001,8,
2020-09-25,Antrim and Newtownabbey,N09000001,13,
2020-09-24,Antrim and Newtownabbey,N09000001,12,
2020-09-23,Antrim and Newtownabbey,N09000001,15,
2020-09-22,Antrim and Newtownabbey,N09000001,5,
2020-09-21,Antrim and Newtownabbey,N09000001,6,
2020-09-20,Antrim and Newtownabbey,N09000001,4,
2020-09-19,Antrim and Newtownabbey,N09000001,3,
2020-09-18,Antrim and Newtownabbey,N09000001,13,
2020-09-17,Antrim and Newtownabbey,N09000001,4,
2020-09-16,Antrim and Newtownabbey,N09000001,6,
2020-09-15,Antrim and Newtownabbey,N09000001,5,
2020-09-14,Antrim and Newtownabbey,N09000001,12,
2020-09-13,Antrim and Newtownabbey,N09000001,6,
2020-09-12,Antrim and Newtownabbey,N09000001,12,
2020-09-11,Antrim and Newtownabbey,N09000001,5,
2020-09-10,Antrim and Newtownabbey,N09000001,11,
2020-09-09,Antrim and Newtownabbey,N09000001,15,
2020-09-08,Antrim and Newtownabbey,N09000001,10,
2020-09-07,Antrim and Newtownabbey,N09000001,18,
2020-09-06,Antrim and Newtownabbey,N09000001,13,
2020-09-05,Antrim and Newtownabbey,N09000001,9,
2020-09-04,Antrim and Newtownabbey,N09000001,8,
2020-09-03,Antrim and Newtownabbey,N09000001,12,
2020-09-02,Antrim and Newtownabbey,N09000001,7,
2020-09-01,Antrim and Newtownabbey,N09000001,7,
2020-08-31,Antrim and Newtownabbey,N09000001,2,
2020-08-30,Antrim and Newtownabbey,N09000001,3,
2020-08-29,Antrim and Newtownabbey,N09000001,2,
2020-08-28,Antrim and Newtownabbey,N09000001,7,
2020-08-27,Antrim and Newtownabbey,N09000001,15,
2020-08-26,Antrim and Newtownabbey,N09000001,7,
2020-08-25,Antrim and Newtownabbey,N09000001,6,
2020-08-24,Antrim and Newtownabbey,N09000001,4,
2020-08-23,Antrim and Newtownabbey,N09000001,2,
2020-08-22,Antrim and Newtownabbey,N09000001,4,
2020-08-21,Antrim and Newtownabbey,N09000001,9,
2020-08-20,Antrim and Newtownabbey,N09000001,13,
2020-08-19,Antrim and Newtownabbey,N09000001,6,
2020-08-18,Antrim and Newtownabbey,N09000001,4,
2020-08-17,Antrim and Newtownabbey,N09000001,7,
2020-08-16,Antrim and Newtownabbey,N09000001,3,
2020-08-15,Antrim and Newtownabbey,N09000001,1,
2020-08-14,Antrim and Newtownabbey,N09000001,9,
2020-08-13,Antrim and Newtownabbey,N09000001,4,
2020-08-12,Antrim and Newtownabbey,N09000001,5,
2020-08-11,Antrim and Newtownabbey,N09000001,3,
2020-08-10,Antrim and Newtownabbey,N09000001,12,
2020-08-09,Antrim and Newtownabbey,N09000001,8,
2020-08-08,Antrim and Newtownabbey,N09000001,5,
2020-08-07,Antrim and Newtownabbey,N09000001,0,
2020-08-06,Antrim and Newtownabbey,N09000001,1,
2020-08-05,Antrim and Newtownabbey,N09000001,1,
2020-08-04,Antrim and Newtownabbey,N09000001,1,
2020-08-03,Antrim and Newtownabbey,N09000001,1,
2020-08-02,Antrim and Newtownabbey,N09000001,0,
2020-08-01,Antrim and Newtownabbey,N09000001,0,
2020-07-31,Antrim and Newtownabbey,N09000001,1,
2020-07-30,Antrim and Newtownabbey,N09000001,1,
2020-07-29,Antrim and Newtownabbey,N09000001,0,
2020-07-28,Antrim and Newtownabbey,N09000001,1,
2020-07-27,Antrim and Newtownabbey,N09000001,0,
2020-07-26,Antrim and Newtownabbey,N09000001,0,
2020-07-25,Antrim and Newtownabbey,N09000001,0,
2020-07-24,Antrim and Newtownabbey,N09000001,0,
2020-07-23,Antrim and Newtownabbey,N09000001,0,
2020-07-22,Antrim and Newtownabbey,N09000001,0,
2020-07-21,Antrim and Newtownabbey,N09000001,0,
2020-07-20,Antrim and Newtownabbey,N09000001,0,
2020-07-19,Antrim and Newtownabbey,N09000001,0,
2020-07-18,Antrim and Newtownabbey,N09000001,0,
2020-07-17,Antrim and Newtownabbey,N09000001,1,
2020-07-16,Antrim and Newtownabbey,N09000001,1,
2020-07-15,Antrim and Newtownabbey,N09000001,0,
2020-07-14,Antrim and Newtownabbey,N09000001,0,
2020-07-13,Antrim and Newtownabbey,N09000001,0,
2020-07-12,Antrim and Newtownabbey,N09000001,0,
2020-07-11,Antrim and Newtownabbey,N09000001,0,
2020-07-10,Antrim and Newtownabbey,N09000001,1,
2020-07-09,Antrim and Newtownabbey,N09000001,0,
2020-07-08,Antrim and Newtownabbey,N09000001,0,
2020-07-07,Antrim and Newtownabbey,N09000001,1,
2020-07-06,Antrim and Newtownabbey,N09000001,1,
2020-07-05,Antrim and Newtownabbey,N09000001,0,
2020-07-04,Antrim and Newtownabbey,N09000001,0,
2020-07-03,Antrim and Newtownabbey,N09000001,0,
2020-07-02,Antrim and Newtownabbey,N09000001,0,
2020-07-01,Antrim and Newtownabbey,N09000001,1,
2020-06-30,Antrim and Newtownabbey,N09000001,0,
2020-06-29,Antrim and Newtownabbey,N09000001,0,
2020-06-28,Antrim and Newtownabbey,N09000001,0,
2020-06-27,Antrim and Newtownabbey,N09000001,0,
2020-06-26,Antrim and Newtownabbey,N09000001,0,
2020-06-25,Antrim and Newtownabbey,N09000001,1,
2020-06-24,Antrim and Newtownabbey,N09000001,1,
2020-06-23,Antrim and Newtownabbey,N09000001,1,
2020-06-22,Antrim and Newtownabbey,N09000001,1,
2020-06-21,Antrim and Newtownabbey,N09000001,1,
2020-06-20,Antrim and Newtownabbey,N09000001,0,
2020-06-19,Antrim and Newtownabbey,N09000001,2,
2020-06-18,Antrim and Newtownabbey,N09000001,0,
2020-06-17,Antrim and Newtownabbey,N09000001,0,
2020-06-16,Antrim and Newtownabbey,N09000001,2,
2020-06-15,Antrim and Newtownabbey,N09000001,0,
2020-06-14,Antrim and Newtownabbey,N09000001,0,
2020-06-13,Antrim and Newtownabbey,N09000001,0,
2020-06-12,Antrim and Newtownabbey,N09000001,0,
2020-06-11,Antrim and Newtownabbey,N09000001,0,
2020-06-10,Antrim and Newtownabbey,N09000001,1,
2020-06-09,Antrim and Newtownabbey,N09000001,0,
2020-06-08,Antrim and Newtownabbey,N09000001,0,
2020-06-07,Antrim and Newtownabbey,N09000001,0,
2020-06-06,Antrim and Newtownabbey,N09000001,2,
2020-06-05,Antrim and Newtownabbey,N09000001,1,
2020-06-04,Antrim and Newtownabbey,N09000001,3,
2020-06-03,Antrim and Newtownabbey,N09000001,1,
2020-06-02,Antrim and Newtownabbey,N09000001,1,
2020-06-01,Antrim and Newtownabbey,N09000001,1,
2020-05-31,Antrim and Newtownabbey,N09000001,3,
2020-05-30,Antrim and Newtownabbey,N09000001,0,
2020-05-29,Antrim and Newtownabbey,N09000001,1,
2020-05-28,Antrim and Newtownabbey,N09000001,1,
2020-05-27,Antrim and Newtownabbey,N09000001,1,
2020-05-26,Antrim and Newtownabbey,N09000001,0,
2020-05-25,Antrim and Newtownabbey,N09000001,3,
2020-05-24,Antrim and Newtownabbey,N09000001,1,
2020-05-23,Antrim and Newtownabbey,N09000001,3,
2020-05-22,Antrim and Newtownabbey,N09000001,1,
2020-05-21,Antrim and Newtownabbey,N09000001,2,
2020-05-20,Antrim and Newtownabbey,N09000001,4,
2020-05-19,Antrim and Newtownabbey,N09000001,3,
2020-05-18,Antrim and Newtownabbey,N09000001,4,
2020-05-17,Antrim and Newtownabbey,N09000001,5,
2020-05-16,Antrim and Newtownabbey,N09000001,2,
2020-05-15,Antrim and Newtownabbey,N09000001,7,
2020-05-14,Antrim and Newtownabbey,N09000001,4,
2020-05-13,Antrim and Newtownabbey,N09000001,4,
2020-05-12,Antrim and Newtownabbey,N09000001,5,
2020-05-11,Antrim and Newtownabbey,N09000001,6,
2020-05-10,Antrim and Newtownabbey,N09000001,10,
2020-05-09,Antrim and Newtownabbey,N09000001,5,
2020-05-08,Antrim and Newtownabbey,N09000001,8,
2020-05-07,Antrim and Newtownabbey,N09000001,5,
2020-05-06,Antrim and Newtownabbey,N09000001,7,
2020-05-05,Antrim and Newtownabbey,N09000001,10,
2020-05-04,Antrim and Newtownabbey,N09000001,6,
2020-05-03,Antrim and Newtownabbey,N09000001,6,
2020-05-02,Antrim and Newtownabbey,N09000001,11,
2020-05-01,Antrim and Newtownabbey,N09000001,12,
2020-04-30,Antrim and Newtownabbey,N09000001,11,
2020-04-29,Antrim and Newtownabbey,N09000001,12,
2020-04-28,Antrim and Newtownabbey,N09000001,8,
2020-04-27,Antrim and Newtownabbey,N09000001,6,
2020-04-26,Antrim and Newtownabbey,N09000001,3,
2020-04-25,Antrim and Newtownabbey,N09000001,4,
2020-04-24,Antrim and Newtownabbey,N09000001,6,
2020-04-23,Antrim and Newtownabbey,N09000001,12,
2020-04-22,Antrim and Newtownabbey,N09000001,16,
2020-04-21,Antrim and Newtownabbey,N09000001,12,
2020-04-20,Antrim and Newtownabbey,N09000001,9,
2020-04-19,Antrim and Newtownabbey,N09000001,4,
2020-04-18,Antrim and Newtownabbey,N09000001,19,
2020-04-17,Antrim and Newtownabbey,N09000001,16,
2020-04-16,Antrim and Newtownabbey,N09000001,10,
2020-04-15,Antrim and Newtownabbey,N09000001,11,
2020-04-14,Antrim and Newtownabbey,N09000001,7,
2020-04-13,Antrim and Newtownabbey,N09000001,6,
2020-04-12,Antrim and Newtownabbey,N09000001,5,
2020-04-11,Antrim and Newtownabbey,N09000001,0,
2020-04-10,Antrim and Newtownabbey,N09000001,8,
2020-04-09,Antrim and Newtownabbey,N09000001,9,
2020-04-08,Antrim and Newtownabbey,N09000001,6,
2020-04-07,Antrim and Newtownabbey,N09000001,7,
2020-04-06,Antrim and Newtownabbey,N09000001,7,
2020-04-05,Antrim and Newtownabbey,N09000001,3,
2020-04-04,Antrim and Newtownabbey,N09000001,5,
2020-04-03,Antrim and Newtownabbey,N09000001,5,
2020-04-02,Antrim and Newtownabbey,N09000001,6,
